timestamp,open,close,volume,firstDiffAbs,firstDiff_%,Action
4/30/18,162.1302,165.26,41456340,2.94,1.779014886,Call
4/27/18,164,162.32,35655839,-1.9,-1.170527353,Call
4/26/18,164.12,164.22,27963014,0.57,0.34709536,Put
4/25/18,162.62,163.65,28382084,0.71,0.433852734,Call
4/24/18,165.67,162.94,33692017,-2.3,-1.411562538,Call
4/23/18,166.8348,165.24,36515477,-0.48,-0.290486565,Put
4/20/18,170.595,165.72,65491140,-7.08,-4.272266474,Put
4/19/18,174.95,172.8,34808800,-5.04,-2.916666667,Put
4/18/18,177.81,177.84,20754538,-0.4,-0.224921278,Put
4/17/18,176.49,178.24,26605442,2.42,1.357719928,Put
4/16/18,175.0301,175.82,21578420,1.09,0.619952224,Call
4/13/18,174.78,174.73,25124255,0.59,0.337663824,Call
4/12/18,173.41,174.14,22889285,1.7,0.976226025,Call
4/11/18,172.23,172.44,22431640,-0.81,-0.469728601,Call
4/10/18,173,173.25,28614241,3.2,1.847041847,Put
4/9/18,169.88,170.05,29017718,1.67,0.982064099,Call
4/6/18,170.97,168.38,35005290,-4.42,-2.625014847,Call
4/5/18,172.58,172.8,26933197,1.19,0.688657407,Put
4/4/18,164.88,171.61,34605489,3.22,1.876347532,Call
4/3/18,167.64,168.39,30278046,1.71,1.015499733,Call
4/2/18,167.88,166.68,37586791,-1.1,-0.659947204,Call
3/29/18,167.805,167.78,38398505,1.3,0.774824175,Put
3/28/18,167.25,166.48,41668545,-1.86,-1.117251321,Call
3/27/18,173.68,168.34,38962839,-4.43,-2.631578947,Put
3/26/18,168.07,172.77,36272617,7.83,4.532036812,Put
3/23/18,168.39,164.94,40248954,-3.91,-2.370558991,Call
3/22/18,170,168.85,41051076,-2.42,-1.433224756,Put
3/21/18,175.04,171.27,35247358,-3.97,-2.317977462,Put
3/20/18,175.24,175.24,19314039,-0.06,-0.034238758,Put
3/19/18,177.32,175.3,32804695,-2.72,-1.551625784,Put
3/16/18,178.65,178.02,36836456,-0.63,-0.353892821,Put
3/15/18,178.5,178.65,22584565,0.21,0.117548279,Put
3/14/18,180.32,178.44,29075469,-1.53,-0.857431069,Call
3/13/18,182.59,179.97,31168404,-1.75,-0.972384286,Put
3/12/18,180.29,181.72,32055405,1.74,0.957517059,Put
3/9/18,177.96,179.98,31385134,3.04,1.689076564,Call
3/8/18,175.48,176.94,23163767,1.91,1.079461965,Call
3/7/18,174.94,175.03,31703462,-1.64,-0.936982232,Call
3/6/18,177.91,176.67,23788506,-0.15,-0.084904058,Put
3/5/18,175.21,176.82,28401366,0.61,0.344983599,Put
3/2/18,172.8,176.21,38453950,1.21,0.686680665,Call
3/1/18,178.54,175,48801970,-3.12,-1.782857143,Call
2/28/18,179.26,178.12,33604574,-0.27,-0.151583202,Put
2/27/18,179.1,178.39,38685165,-0.58,-0.325130332,Put
2/26/18,176.35,178.97,36886432,3.47,1.938872437,Put
2/23/18,173.67,175.5,33329232,3,1.709401709,Call
2/22/18,171.8,172.5,30504116,1.43,0.828985507,Call
2/21/18,172.83,171.07,35833514,-0.78,-0.455953703,Call
2/20/18,172.05,171.85,33531012,-0.58,-0.337503637,Put
2/16/18,172.36,172.43,39638793,-0.56,-0.324769472,Put
2/15/18,169.79,172.99,50609595,5.62,3.248742702,Put
2/14/18,163.045,167.37,39669178,3.03,1.81036028,Call
2/13/18,161.95,164.34,32104756,1.63,0.991846173,Call
2/12/18,158.5,162.71,60560145,6.3,3.871919366,Call
2/9/18,157.07,156.41,66723743,1.26,0.805575091,Call
2/8/18,160.29,155.15,49594129,-4.39,-2.82951982,Call
2/7/18,163.085,159.54,50852130,-3.49,-2.187539175,Put
2/6/18,154.83,163.03,66625484,6.54,4.01153162,Put
2/5/18,159.1,156.49,66090446,-4.01,-2.562464055,Call
2/2/18,166,160.5,85436075,-7.28,-4.535825545,Put
2/1/18,167.165,167.78,38099665,0.35,0.208606509,Put
1/31/18,166.87,167.43,30984099,0.46,0.274741683,Call
1/30/18,165.525,166.97,45137026,-0.99,-0.592920884,Call
