date,positive,negative
2018-05-08,10,5
2018-05-07,510,255
2018-05-06,43,19
2018-05-05,30,20
2018-05-04,33,19
2018-05-03,37,14
2018-05-02,36,5
2018-05-01,34,14
2018-04-30,26,20
2018-04-29,39,11
2018-04-28,36,16
2018-04-27,36,20
2018-04-26,41,11
2018-04-25,24,9
2018-04-24,35,21
2018-04-23,47,25
2018-04-22,46,20
2018-04-21,39,18
2018-04-20,28,17
2018-04-19,31,12
2018-04-18,55,18
2018-04-17,50,22
2018-04-16,36,22
2018-04-15,54,20
2018-04-14,45,21
2018-04-13,44,20
2018-04-12,51,20
2018-04-11,42,16
2018-04-10,37,21
2018-04-09,38,18
2018-04-08,39,20
2018-04-07,37,24
2018-04-06,36,27
2018-04-05,39,18
2018-04-04,42,18
2018-04-03,39,22
2018-04-02,42,18
2018-04-01,32,19
2018-03-31,11,27
2018-03-30,21,23
2018-03-29,30,14
2018-03-28,22,16
2018-03-27,25,16
2018-03-26,24,10
2018-03-25,37,19
2018-03-24,28,14
2018-03-23,32,15
2018-03-22,32,14
2018-03-21,23,16
2018-03-20,25,27
2018-03-19,40,22
2018-03-18,52,13
2018-03-17,34,27
2018-03-16,30,26
2018-03-15,31,25
2018-03-14,36,21
2018-03-13,29,10
2018-03-12,37,10
2018-03-11,36,19
2018-03-10,40,11
2018-03-09,32,18
2018-03-08,41,21
2018-03-07,44,15
2018-03-06,30,17
2018-03-05,30,18
2018-03-04,32,13
2018-03-03,42,17
2018-03-02,39,17
2018-03-01,29,14
2018-02-28,44,12
2018-02-27,36,18
2018-02-26,28,15
2018-02-25,28,15
2018-02-24,40,15
2018-02-23,35,15
2018-02-22,31,14
2018-02-21,26,13
2018-02-20,23,14
2018-02-19,47,23
2018-02-18,29,19
2018-02-17,39,12
2018-02-16,28,18
2018-02-15,30,19
2018-02-14,38,17
2018-02-13,29,18
2018-02-12,31,21
2018-02-11,36,22
2018-02-10,29,17
2018-02-09,39,11
2018-02-08,33,11
2018-02-07,38,16
2018-02-06,19,8
2018-02-05,0,0
2018-02-04,0,0
2018-02-03,0,0
2018-02-02,0,0
2018-02-01,0,0
2018-01-31,0,0
2018-01-30,0,0
2018-01-29,0,0
2018-01-28,0,0
2018-01-27,0,0
2018-01-26,0,0
2018-01-25,0,0
2018-01-24,0,0
2018-01-23,0,0
2018-01-22,0,0
2018-01-21,0,0
2018-01-20,0,0
2018-01-19,0,0
2018-01-18,0,0
2018-01-17,0,0
2018-01-16,0,0
2018-01-15,0,0
2018-01-14,0,0
2018-01-13,0,0
2018-01-12,0,0
2018-01-11,0,0
2018-01-10,0,0
2018-01-09,0,0
2018-01-08,0,0
2018-01-07,0,0
2018-01-06,0,0
2018-01-05,0,0
2018-01-04,0,0
2018-01-03,0,0
2018-01-02,0,0
2018-01-01,0,0
2017-12-31,0,0
2017-12-30,0,0
2017-12-29,0,0
2017-12-28,0,0
2017-12-27,0,0
2017-12-26,0,0
2017-12-25,0,0
2017-12-24,0,0
2017-12-23,0,0
2017-12-22,0,0
2017-12-21,0,0
2017-12-20,0,0
2017-12-19,0,0
2017-12-18,0,0
2017-12-17,0,0
2017-12-16,0,0
2017-12-15,0,0
2017-12-14,0,0
2017-12-13,0,0
2017-12-12,0,0
2017-12-11,0,0
2017-12-10,0,0
2017-12-09,0,0
2017-12-08,0,0
2017-12-07,0,0
2017-12-06,0,0
2017-12-05,0,0
2017-12-04,0,0
2017-12-03,0,0
2017-12-02,0,0
2017-12-01,0,0
2017-11-30,0,0
2017-11-29,0,0
2017-11-28,0,0
2017-11-27,0,0
2017-11-26,0,0
2017-11-25,0,0
2017-11-24,0,0
2017-11-23,0,0
2017-11-22,0,0
2017-11-21,0,0
2017-11-20,0,0
2017-11-19,0,0
2017-11-18,0,0
2017-11-17,0,0
2017-11-16,0,0
2017-11-15,0,0
2017-11-14,0,0
2017-11-13,0,0
2017-11-12,0,0
2017-11-11,0,0
2017-11-10,0,0
2017-11-09,0,0
2017-11-08,0,0
2017-11-07,0,0
2017-11-06,0,0
2017-11-05,0,0
2017-11-04,0,0
2017-11-03,0,0
2017-11-02,0,0
2017-11-01,0,0
2017-10-31,0,0
2017-10-30,0,0
2017-10-29,0,0
2017-10-28,0,0
2017-10-27,0,0
2017-10-26,0,0
2017-10-25,0,0
2017-10-24,0,0
2017-10-23,0,0
2017-10-22,0,0
2017-10-21,0,0
