timestamp,open,high,low,volume,dividend amount,firstDiffAbs,firstDiff_%,ROC_2,score,pos_simple,neg_simple,Action,n-1,n-2,n-3,adjusted close
1/14/00,102,102.25,86.5,29872700,0,,,-0.097669288,0.010511877,8,18,Call,0.8334,0.8385,0.9154,3.1901
1/21/00,101,121.5,100.44,30213200,0,0.3453,9.766928778,0.095364977,0.010549888,11,16,Put,0.8385,0.9154,0.9255,3.5354
1/28/00,108.44,114.19,100.62,18470300,0,-0.3078,-9.536497707,-0.059091042,0.017173001,15,17,Call,0.848,0.8334,0.8385,3.2276
2/4/00,101,110,94.5,21289500,0,0.2027,5.90910416,-0.006890362,0.008558737,8,25,Call,0.8766,0.8957,0.9351,3.4303
2/11/00,108,117.12,105.94,14859900,0,0.0238,0.689036218,-0.022470638,0.007654566,9,14,Call,0.8912,0.9351,0.9446,3.4541
2/18/00,109.31,119.94,108.62,15664900,0,0.0794,2.247063818,0.007987448,0.010884382,7,10,Put,0.8931,0.8982,0.9395,3.5335
2/25/00,110.12,119.12,106.69,13580100,0,-0.028,-0.79874483,-0.137744435,0.006953288,10,19,Call,0.8931,0.9567,1.0837,3.5055
3/3/00,110.12,132.06,108.37,21508200,0,0.56,13.77444349,0.017901853,0.004862486,13,16,Put,0.8957,0.9351,0.9465,4.0655
3/10/00,126,129.13,118.25,11429700,0,-0.0715,-1.790185278,0.00599466,0.014240016,13,30,Put,0.8982,0.9395,0.9497,3.994
3/17/00,122.12,126.5,114,16600800,0,-0.0238,-0.599466022,-0.098706016,0.007817994,6,17,Call,0.8989,0.9122,0.8766,3.9702
3/24/00,123.5,150.38,121.62,20591900,0,0.4348,9.870601589,0.021188798,0.014920902,4,8,Put,0.9001,0.9135,0.937,4.405
3/31/00,137.63,144.75,125.44,13759100,0,-0.0914,-2.118879822,0.030827319,0.003564413,15,11,Put,0.9109,0.9217,0.8912,4.3136
4/7/00,135.5,139.5,116.75,17398400,0,-0.129,-3.082731922,0.177698976,0.003823354,8,34,Put,0.9109,0.9503,1.1117,4.1846
4/14/00,131.69,132.75,104.87,25827400,0,-0.6314,-17.76989756,-0.058879619,0.010239668,8,20,Call,0.9122,0.8766,0.8957,3.5532
4/20/00,109.5,130.25,109.06,18238900,0,0.2223,5.887961859,-0.041848543,0.015911721,14,30,Call,0.9135,0.937,0.9992,3.7755
4/28/00,115,128.75,114.75,15878200,0,0.1649,4.18485433,0.096718528,0.012727831,8,21,Put,0.9154,0.9255,0.9528,3.9404
5/5/00,124.87,126.25,110.56,14607300,0,-0.3475,-9.671852821,0.051108771,0.015353138,10,10,Put,0.9179,0.848,0.8334,3.5929
5/12/00,112.09,113.69,98.75,16551700,0,-0.1747,-5.11087707,0.144895498,0.002264921,8,18,Put,0.9179,0.9109,0.9503,3.4182
5/19/00,108.06,109.06,93.37,23499300,0,-0.4326,-14.48954984,0.088324281,0.013383145,11,12,Put,0.9217,0.8912,0.9351,2.9856
5/26/00,93.75,93.75,83,22673700,0,-0.2423,-8.832428098,-0.066873023,0.002817664,7,39,Call,0.923,0.9535,0.9528,2.7433
6/2/00,87.62,99.75,80.37,25386200,0,0.1966,6.687302289,-0.03330922,0.005272911,8,23,Call,0.9255,0.9528,0.9389,2.9399
6/9/00,93.31,98.5,89.69,14973700,0,0.1013,3.330922004,0.050029348,0.006922855,8,27,Put,0.9319,0.8989,0.9122,3.0412
6/16/00,96.37,96.44,88.19,13137300,0,-0.1449,-5.002934779,-0.117922948,0.007847519,10,15,Call,0.9351,0.9465,0.8931,2.8963
6/23/00,90.56,103.94,50.31,24381700,0,0.3872,11.79229481,-0.013193484,0.010963303,9,20,Call,0.9351,0.9446,0.9001,3.2835
6/30/00,52.5,55.5,51.06,21464500,0,0.0439,1.31934844,-0.037823145,0.003564442,8,14,Call,0.937,0.9992,1.0043,3.3274
7/7/00,52.13,55.19,49.63,16235600,0,0.1308,3.782314499,-0.056348405,0.014724373,8,8,Call,0.9389,0.923,0.9535,3.4582
7/14/00,54.09,60.63,53.75,28876100,0,0.2065,5.634840505,0.077124298,0.007340223,6,13,Put,0.9395,0.9497,0.9846,3.6647
7/21/00,58.25,58.88,51.75,30323000,0,-0.2624,-7.712429827,0.1086744,0.005318332,10,21,Put,0.9446,0.9001,0.9135,3.4023
7/28/00,52.56,53.25,46.88,24413000,0,-0.3335,-10.86744004,0.019636509,0.009042763,11,32,Put,0.9452,0.9528,0.8931,3.0688
8/4/00,49.16,51.63,44.25,18892100,0,-0.0591,-1.963650862,-0.006502938,7.90E-05,18,27,Call,0.9465,0.8931,0.8982,3.0097
